date_hour,trip_count
2009-01-19 20,15
2009-01-19 21,8
2009-01-19 22,18
2009-01-19 23,13
2009-01-20 00,8
2009-01-20 01,4
2009-01-20 02,3
2009-01-20 03,3
2009-01-20 04,2
2009-01-20 05,3
2009-01-20 06,10
2009-01-20 07,14
2009-01-20 08,29
2009-01-20 09,30
2009-01-20 10,18
2009-01-20 11,13
2009-01-20 12,15
2009-01-20 13,15
2009-01-20 14,27
2009-01-20 15,18
2009-01-20 16,21
2009-01-20 17,20
2009-01-20 18,28
2009-01-20 19,19
2009-01-20 20,27
2009-01-20 21,28
2009-01-20 22,22
2009-01-20 23,26
2009-01-21 00,14
2009-01-21 01,4
2009-01-21 02,5
2009-01-21 03,1
2009-01-21 05,5
2009-01-21 06,5
2009-01-21 07,24
2009-01-21 08,35
2009-01-21 09,27
2009-01-21 10,18
2009-01-21 11,22
2009-01-21 12,13
2009-01-21 13,27
2009-01-21 14,33
2009-01-21 15,21
2009-01-21 16,25
2009-01-21 17,16
2009-01-21 18,23
2009-01-21 19,30
2009-01-21 20,29
2009-01-21 21,30
2009-01-21 22,28
2009-01-21 23,19
2009-01-22 00,9
2009-01-22 01,6
2009-01-22 02,5
2009-01-22 04,3
2009-01-22 05,3
2009-01-22 06,8
2009-01-22 07,16
2009-01-22 08,29
2009-01-22 09,34
2009-01-22 10,25
2009-01-22 11,19
2009-01-22 12,24
2009-01-22 13,22
2009-01-22 14,28
2009-01-22 15,26
2009-01-22 16,17
2009-01-22 17,33
2009-01-22 18,20
2009-01-22 19,29
2009-01-22 20,23
2009-01-22 21,24
2009-01-22 22,19
2009-01-22 23,21
2009-01-23 00,18
2009-01-23 01,8
2009-01-23 02,11
2009-01-23 03,5
2009-01-23 04,4
2009-01-23 05,7
2009-01-23 06,10
2009-01-23 07,20
2009-01-23 08,25
2009-01-23 09,25
2009-01-23 10,20
2009-01-23 11,23
2009-01-23 12,28
2009-01-23 13,22
2009-01-23 14,14
2009-01-23 15,28
2009-01-23 16,14
2009-01-23 17,22
2009-01-23 18,35
2009-01-23 19,31
2009-01-23 20,23
2009-01-23 21,33
2009-01-23 22,35
2009-01-23 23,25
2009-01-24 00,19
2009-01-24 01,24
2009-01-24 02,20
2009-01-24 03,20
2009-01-24 04,14
2009-01-24 05,6
2009-01-24 06,5
2009-01-24 07,8
2009-01-24 08,7
2009-01-24 09,18
2009-01-24 10,15
2009-01-24 11,24
2009-01-24 12,14
2009-01-24 13,15
2009-01-24 14,16
2009-01-24 15,26
2009-01-24 16,24
2009-01-24 17,20
2009-01-24 18,26
2009-01-24 19,34
2009-01-24 20,35
2009-01-24 21,40
2009-01-24 22,39
2009-01-24 23,21
2009-01-25 00,25
2009-01-25 01,20
2009-01-25 02,21
2009-01-25 03,20
2009-01-25 04,19
2009-01-25 05,4
2009-01-25 06,4
2009-01-25 07,5
2009-01-25 08,10
2009-01-25 09,12
2009-01-25 10,17
2009-01-25 11,20
2009-01-25 12,16
2009-01-25 13,35
2009-01-25 14,23
2009-01-25 15,20
2009-01-25 16,26
2009-01-25 17,21
2009-01-25 18,37
2009-01-25 19,12
2009-01-25 20,10
2009-01-25 21,14
